Q,scan1,scan2,scan3,scan1,scan2,scan3
23.67981,-24.70861,-24.79419,-23.44168,-24.70861,-24.79419,-23.44168
24.09949,-24.72365,-24.78698,-23.45704,-24.72365,-24.78698,-23.45704
24.51655,-24.72057,-24.74972,-23.42957,-24.72057,-24.74972,-23.42957
24.93072,-24.73184,-24.71738,-23.41237,-24.73184,-24.71738,-23.41237
25.34585,-24.75111,-24.66554,-23.41981,-24.75111,-24.66554,-23.41981
25.76149,-24.71833,-24.61413,-23.41769,-24.71833,-24.61413,-23.41769
26.1796,-24.6803,-24.56093,-23.37341,-24.6803,-24.56093,-23.37341
26.59606,-24.65445,-24.4998,-23.33569,-24.65445,-24.4998,-23.33569
27.01085,-24.61847,-24.44321,-23.2917,-24.61847,-24.44321,-23.2917
27.42868,-24.59139,-24.38435,-23.2524,-24.59139,-24.38435,-23.2524
27.84717,-24.54688,-24.32394,-23.19867,-24.54688,-24.32394,-23.19867
28.2651,-24.50358,-24.26118,-23.15307,-24.50358,-24.26118,-23.15307
28.68005,-24.44651,-24.19726,-23.10936,-24.44651,-24.19726,-23.10936
29.09725,-24.38222,-24.08536,-23.06477,-24.38222,-24.08536,-23.06477
29.51546,-24.321,-24.0379,-23.01779,-24.321,-24.0379,-23.01779
29.92925,-24.24558,-23.97181,-22.95825,-24.24558,-23.97181,-22.95825
30.34748,-24.19625,-23.91555,-22.90347,-24.19625,-23.91555,-22.90347
30.76593,-24.12775,-23.85548,-22.86172,-24.12775,-23.85548,-22.86172
31.18535,-24.05071,-23.76113,-22.81915,-24.05071,-23.76113,-22.81915
31.60569,-23.96445,-23.67805,-22.7666,-23.96445,-23.67805,-22.7666
32.02323,-23.88711,-23.58991,-22.69017,-23.88711,-23.58991,-22.69017
32.44114,-23.80527,-23.52226,-22.63953,-23.80527,-23.52226,-22.63953
32.85371,-23.71883,-23.43522,-22.60055,-23.71883,-23.43522,-22.60055
33.26899,-23.64436,-23.37287,-22.53212,-23.64436,-23.37287,-22.53212
33.68805,-23.57094,-23.29499,-22.44577,-23.57094,-23.29499,-22.44577
34.10582,-23.49537,-23.20374,-22.32847,-23.49537,-23.20374,-22.32847
34.52212,-23.41257,-23.10587,-22.21897,-23.41257,-23.10587,-22.21897
34.93987,-23.3046,-22.98643,-22.12904,-23.3046,-22.98643,-22.12904
35.35799,-23.17635,-22.90099,-22.03112,-23.17635,-22.90099,-22.03112
35.77784,-23.04158,-22.80322,-21.92061,-23.04158,-22.80322,-21.92061
36.19579,-22.89451,-22.68544,-21.79077,-22.89451,-22.68544,-21.79077
36.61038,-22.69044,-22.58592,-21.65243,-22.69044,-22.58592,-21.65243
37.0279,-22.55656,-22.46404,-21.50039,-22.55656,-22.46404,-21.50039
37.44549,-22.42957,-22.3398,-21.35358,-22.42957,-22.3398,-21.35358
37.8654,-22.27883,-22.20923,-21.17566,-22.27883,-22.20923,-21.17566
38.28346,-22.0837,-22.06344,-20.98288,-22.0837,-22.06344,-20.98288
38.69926,-21.91256,-21.8704,-20.77147,-21.91256,-21.8704,-20.77147
39.115,-21.68605,-21.64547,-20.52356,-21.68605,-21.64547,-20.52356
39.53468,-21.405,-21.38724,-20.27062,-21.405,-21.38724,-20.27062
39.95224,-21.07251,-21.10374,-20.00239,-21.07251,-21.10374,-20.00239
40.36921,-20.69769,-20.76133,-19.65,-20.69769,-20.76133,-19.65
40.78343,-20.26642,-20.36596,-19.23249,-20.26642,-20.36596,-19.23249
41.20052,-19.76182,-19.91408,-18.74019,-19.76182,-19.91408,-18.74019
41.62039,-19.15534,-19.37212,-18.15683,-19.15534,-19.37212,-18.15683
42.04102,-18.40226,-18.72708,-17.44451,-18.40226,-18.72708,-17.44451
42.45492,-17.50636,-17.96451,-16.59219,-17.50636,-17.96451,-16.59219
42.87141,-16.45984,-17.04554,-15.56592,-16.45984,-17.04554,-15.56592
43.28882,-15.26005,-15.95888,-14.38212,-15.26005,-15.95888,-14.38212
43.70855,-13.86464,-14.70893,-13.00942,-13.86464,-14.70893,-13.00942
