Temperature,Lysozyme 0mgml in PBS buffer,Lysozyme 10mgml in PBS buffer,Lysozyme 20mgml in PBS buffer
40.193,-0.354199,-0.347627,-0.343755
40.201,-0.3542,-0.347628,-0.343755
40.209,-0.354202,-0.347629,-0.343755
40.218,-0.354203,-0.347631,-0.343757
40.226,-0.354203,-0.347632,-0.343757
40.235,-0.354202,-0.347634,-0.343759
40.243,-0.3542,-0.347636,-0.34376
40.251,-0.354198,-0.347639,-0.34376
40.26,-0.354196,-0.34764,-0.343761
40.268,-0.354195,-0.347641,-0.343761
40.276,-0.354195,-0.347642,-0.343762
40.285,-0.354195,-0.347643,-0.343762
40.293,-0.354195,-0.347644,-0.343761
40.301,-0.354197,-0.347644,-0.343761
40.31,-0.354199,-0.347645,-0.343761
40.318,-0.354201,-0.347645,-0.343761
40.327,-0.354202,-0.347645,-0.343761
40.335,-0.354204,-0.347646,-0.343762
40.343,-0.354205,-0.347646,-0.343763
40.352,-0.354205,-0.347645,-0.343764
40.36,-0.354206,-0.347644,-0.343765
40.368,-0.354206,-0.347644,-0.343766
40.376,-0.354206,-0.347645,-0.343767
40.385,-0.354206,-0.347647,-0.343767
40.393,-0.354206,-0.347649,-0.343767
40.401,-0.354207,-0.34765,-0.343766
40.41,-0.354208,-0.347651,-0.343765
40.418,-0.354209,-0.347651,-0.343765
40.426,-0.35421,-0.347651,-0.343765
40.435,-0.35421,-0.34765,-0.343765
40.443,-0.354211,-0.347649,-0.343766
40.452,-0.354211,-0.347648,-0.343767
40.46,-0.354211,-0.347648,-0.343769
40.468,-0.35421,-0.347648,-0.34377
40.476,-0.35421,-0.34765,-0.343771
40.485,-0.354209,-0.347652,-0.343771
40.493,-0.35421,-0.347654,-0.343771
40.501,-0.35421,-0.347656,-0.343771
40.51,-0.354211,-0.347657,-0.343771
40.518,-0.354212,-0.347658,-0.343771
40.526,-0.354212,-0.347659,-0.343773
40.534,-0.354213,-0.34766,-0.343774
40.543,-0.354213,-0.347661,-0.343775
40.551,-0.354214,-0.347662,-0.343776
40.56,-0.354214,-0.347663,-0.343778
40.568,-0.354214,-0.347664,-0.343778
40.576,-0.354215,-0.347665,-0.343778
40.585,-0.354216,-0.347666,-0.343777
40.593,-0.354218,-0.347667,-0.343776
40.601,-0.354219,-0.347668,-0.343774
40.61,-0.35422,-0.347669,-0.343772
40.618,-0.354221,-0.347671,-0.343772
40.627,-0.354221,-0.347672,-0.343772
40.635,-0.354222,-0.347673,-0.343772
40.643,-0.354222,-0.347675,-0.343773
40.651,-0.354223,-0.347677,-0.343775
40.66,-0.354223,-0.347679,-0.343776
40.668,-0.354223,-0.347681,-0.343776
40.677,-0.354223,-0.347683,-0.343776
40.685,-0.354223,-0.347685,-0.343776
40.693,-0.354223,-0.347687,-0.343775
40.702,-0.354223,-0.347688,-0.343775
40.71,-0.354223,-0.347688,-0.343776
40.718,-0.354223,-0.347689,-0.343775
40.726,-0.354223,-0.34769,-0.343775
40.735,-0.354223,-0.347691,-0.343775
40.743,-0.354223,-0.347692,-0.343776
40.752,-0.354224,-0.347692,-0.343777
40.76,-0.354224,-0.347692,-0.343778
